applicant_income,coapplicant_income,credit_score,employment_years,loan_amount,loan_term,dependents_num,education,self_employed,married,property_area,approval_probability_true,loan_status
53882.0,0.0,763.0,1.3,406.0,300,1,Graduate,No,No,Semiurban,0.8959,1
38146.0,0.0,588.0,0.1,700.0,300,0,Graduate,No,No,Rural,0.127,0
74001.0,12727.0,738.0,2.5,641.0,360,0,Graduate,Yes,Yes,Semiurban,0.783,1
75510.0,54337.0,706.0,3.3,700.0,360,0,Graduate,No,Yes,Urban,0.7884,0
49492.0,43620.0,527.0,0.9,700.0,300,0,Graduate,No,Yes,Semiurban,0.3313,1
58441.0,26626.0,729.0,0.2,700.0,480,0,Graduate,No,Yes,Semiurban,0.6854,1
44705.0,0.0,705.0,1.0,700.0,180,0,Graduate,No,No,Urban,0.4331,0
35954.0,46697.0,610.0,5.7,588.0,480,0,Not Graduate,No,Yes,Semiurban,0.6388,1
46223.0,0.0,696.0,0.4,700.0,180,0,Not Graduate,No,No,Rural,0.2646,0
58750.0,0.0,576.0,4.0,700.0,300,0,Graduate,No,No,Urban,0.4547,0
30652.0,22152.0,617.0,0.8,700.0,360,0,Not Graduate,No,Yes,Urban,0.3313,0
47663.0,29255.0,686.0,1.1,700.0,360,0,Not Graduate,No,Yes,Urban,0.5147,0
59094.0,0.0,537.0,2.5,698.0,180,3,Graduate,No,No,Semiurban,0.1899,0
94066.0,0.0,572.0,0.5,700.0,480,1,Not Graduate,No,No,Rural,0.3117,1
49947.0,0.0,599.0,1.0,700.0,120,2,Graduate,No,No,Semiurban,0.4019,0
24235.0,17012.0,667.0,2.1,700.0,60,2,Not Graduate,Yes,Yes,Urban,0.0563,0
39470.0,15034.0,701.0,2.0,700.0,360,3,Not Graduate,Yes,Yes,Semiurban,0.3861,1
42009.0,34058.0,597.0,6.9,700.0,360,2,Graduate,Yes,Yes,Semiurban,0.6496,1
71820.0,0.0,603.0,0.4,700.0,360,1,Graduate,No,No,Semiurban,0.3942,0
49418.0,40500.0,727.0,9.8,700.0,360,0,Graduate,No,Yes,Urban,0.9246,1
18243.0,0.0,721.0,8.5,483.0,120,0,Graduate,No,No,Semiurban,0.275,0
268467.0,17585.0,630.0,7.3,700.0,120,1,Not Graduate,No,Yes,Semiurban,0.5663,0
60463.0,0.0,858.0,1.9,700.0,480,3,Not Graduate,No,No,Urban,0.8646,0
59128.0,0.0,729.0,8.7,700.0,300,0,Graduate,No,No,Semiurban,0.7867,1
29810.0,28726.0,678.0,1.0,390.0,360,1,Graduate,No,Yes,Rural,0.6551,0
30788.0,13081.0,657.0,0.7,560.0,360,0,Graduate,No,Yes,Urban,0.5461,0
54796.0,81465.0,788.0,0.2,700.0,300,0,Graduate,No,Yes,Rural,0.69,1
65591.0,24150.0,775.0,14.0,700.0,300,0,Graduate,No,Yes,Urban,0.8922,1
80030.0,30828.0,506.0,1.8,700.0,240,0,Graduate,Yes,Yes,Semiurban,0.3993,1
62254.0,44425.0,616.0,12.5,700.0,120,0,Not Graduate,Yes,Yes,Urban,0.5,1
30405.0,9140.0,628.0,1.6,700.0,300,1,Graduate,Yes,Yes,Urban,0.462,1
19893.0,0.0,717.0,11.9,388.0,360,2,Graduate,No,No,Semiurban,0.7207,0
54606.0,25915.0,777.0,11.7,700.0,300,2,Graduate,No,Yes,Semiurban,0.8768,1
45512.0,28909.0,619.0,12.9,700.0,120,0,Graduate,No,Yes,Rural,0.4936,1
33514.0,0.0,680.0,3.4,653.0,120,2,Not Graduate,No,No,Semiurban,0.1968,0
80643.0,32192.0,863.0,10.0,700.0,120,0,Not Graduate,No,Yes,Semiurban,0.9444,1
29386.0,0.0,728.0,15.1,234.0,300,0,Graduate,No,No,Rural,0.84,1
53592.0,0.0,605.0,2.0,700.0,300,1,Graduate,Yes,No,Semiurban,0.2593,0
31500.0,46637.0,571.0,2.7,700.0,240,0,Graduate,No,Yes,Urban,0.517,0
60254.0,23200.0,660.0,6.4,700.0,300,0,Graduate,No,Yes,Urban,0.875,1
84311.0,24153.0,593.0,1.8,700.0,180,0,Graduate,No,Yes,Semiurban,0.6323,1
49418.0,47003.0,670.0,7.0,700.0,360,1,Graduate,No,Yes,Semiurban,0.5085,1
115817.0,31445.0,744.0,0.4,700.0,240,0,Graduate,No,Yes,Urban,0.7746,1
127454.0,12656.0,704.0,3.7,700.0,300,1,Graduate,No,Yes,Urban,0.613,1
62920.0,85100.0,648.0,0.7,700.0,240,1,Graduate,No,Yes,Urban,0.587,1
71495.0,15609.0,514.0,1.7,700.0,120,1,Not Graduate,No,Yes,Semiurban,0.298,0
88920.0,105181.0,774.0,1.5,700.0,180,2,Graduate,No,Yes,Urban,0.7778,1
78104.0,34043.0,654.0,9.1,700.0,480,0,Graduate,Yes,Yes,Urban,0.86,1
71180.0,0.0,680.0,1.1,646.0,180,0,Graduate,Yes,No,Semiurban,0.2582,0
45702.0,7318.0,612.0,8.3,700.0,120,0,Not Graduate,No,Yes,Rural,0.2127,0
23918.0,41242.0,646.0,7.9,512.0,180,0,Graduate,Yes,Yes,Urban,0.6345,1
31766.0,11468.0,645.0,3.5,488.0,360,1,Graduate,No,Yes,Semiurban,0.4481,0
154909.0,32745.0,568.0,1.3,700.0,240,0,Graduate,No,Yes,Urban,0.3539,0
52155.0,77925.0,584.0,1.3,700.0,240,0,Graduate,Yes,Yes,Rural,0.4744,1
51370.0,14390.0,697.0,3.1,700.0,240,2,Graduate,No,Yes,Urban,0.8211,0
96819.0,40374.0,720.0,0.0,700.0,480,1,Graduate,No,Yes,Rural,0.8804,1
41574.0,17216.0,635.0,3.8,478.0,480,1,Graduate,No,Yes,Rural,0.4654,0
72759.0,50173.0,611.0,15.3,700.0,240,2,Graduate,No,Yes,Rural,0.7491,1
58831.0,27895.0,660.0,0.8,700.0,360,2,Graduate,No,Yes,Urban,0.5699,1
69093.0,26623.0,776.0,4.3,700.0,180,1,Graduate,No,Yes,Semiurban,0.9121,0
49450.0,52261.0,627.0,16.3,700.0,240,0,Not Graduate,No,Yes,Urban,0.6282,0
37981.0,0.0,715.0,9.8,700.0,300,3,Graduate,No,No,Rural,0.3442,0
40312.0,0.0,650.0,9.5,700.0,180,1,Graduate,No,No,Rural,0.5591,0
41161.0,71891.0,793.0,8.6,700.0,180,0,Graduate,Yes,Yes,Rural,0.9306,1
56883.0,11560.0,648.0,1.8,700.0,480,0,Graduate,No,Yes,Semiurban,0.5984,0
25686.0,31308.0,754.0,11.1,700.0,180,1,Graduate,Yes,Yes,Semiurban,0.853,1
33728.0,0.0,820.0,14.2,700.0,120,3,Graduate,No,No,Semiurban,0.6432,0
58927.0,11873.0,821.0,3.4,700.0,360,0,Graduate,Yes,Yes,Semiurban,0.9624,1
53980.0,0.0,568.0,2.2,336.0,180,0,Graduate,No,No,Semiurban,0.3172,1
61691.0,0.0,565.0,2.7,700.0,240,2,Graduate,No,No,Semiurban,0.3515,0
55887.0,0.0,807.0,2.0,562.0,120,3,Graduate,No,No,Rural,0.4756,0
164055.0,48166.0,790.0,1.2,700.0,120,0,Graduate,No,Yes,Semiurban,0.7948,1
60068.0,60586.0,644.0,4.8,700.0,240,0,Graduate,No,Yes,Rural,0.5757,0
48571.0,31342.0,382.0,4.1,692.0,240,1,Not Graduate,No,Yes,Rural,0.0505,0
59425.0,21083.0,707.0,3.1,700.0,300,0,Graduate,No,Yes,Semiurban,0.6718,1
87411.0,47642.0,549.0,0.5,700.0,480,2,Graduate,No,Yes,Urban,0.4984,0
55779.0,0.0,631.0,8.0,700.0,240,0,Graduate,No,No,Semiurban,0.757,1
81092.0,11186.0,674.0,1.0,700.0,300,0,Not Graduate,Yes,Yes,Semiurban,0.6742,0
67261.0,45092.0,711.0,0.6,700.0,120,0,Not Graduate,No,Yes,Urban,0.3762,0
43835.0,55723.0,828.0,4.9,700.0,360,0,Graduate,Yes,Yes,Urban,0.9069,1
59669.0,0.0,662.0,2.5,700.0,360,0,Graduate,No,No,Rural,0.5548,0
111474.0,0.0,588.0,0.3,700.0,300,0,Not Graduate,No,No,Urban,0.3083,1
63076.0,37074.0,784.0,2.2,700.0,180,2,Graduate,No,Yes,Semiurban,0.8738,1
35132.0,34156.0,719.0,7.4,700.0,240,0,Graduate,Yes,Yes,Rural,0.5754,1
49802.0,20248.0,668.0,4.8,700.0,180,3,Graduate,No,Yes,Semiurban,0.4917,0
23436.0,47076.0,700.0,2.3,700.0,480,0,Graduate,No,Yes,Semiurban,0.6216,1
60337.0,11633.0,647.0,1.1,700.0,240,1,Not Graduate,No,Yes,Semiurban,0.6354,1
98821.0,0.0,757.0,5.0,700.0,240,0,Not Graduate,No,No,Semiurban,0.9095,0
32423.0,17975.0,876.0,10.9,700.0,180,0,Graduate,No,Yes,Urban,0.8938,1
60651.0,13096.0,635.0,5.2,700.0,180,1,Graduate,No,Yes,Rural,0.5807,1
86153.0,43245.0,750.0,8.4,700.0,360,1,Graduate,No,Yes,Semiurban,0.9488,1
90064.0,0.0,555.0,3.7,700.0,300,2,Graduate,No,No,Semiurban,0.4657,1
97491.0,41881.0,592.0,6.3,700.0,240,2,Not Graduate,No,Yes,Semiurban,0.5218,1
25987.0,23085.0,758.0,11.3,700.0,180,1,Not Graduate,No,Yes,Urban,0.7263,0
55527.0,0.0,677.0,7.4,700.0,180,0,Graduate,Yes,No,Rural,0.3508,0
30262.0,28069.0,613.0,12.0,700.0,60,2,Graduate,No,Yes,Rural,0.1962,0
37448.0,0.0,699.0,2.8,700.0,480,1,Graduate,No,No,Urban,0.5536,1
80408.0,18932.0,801.0,11.7,700.0,360,3,Graduate,No,Yes,Rural,0.7408,0
60863.0,0.0,553.0,4.9,700.0,480,2,Not Graduate,No,No,Semiurban,0.1982,0
54586.0,51042.0,855.0,10.2,700.0,240,0,Graduate,Yes,Yes,Semiurban,0.9087,1
38552.0,47954.0,747.0,0.2,700.0,360,0,Graduate,No,Yes,Semiurban,0.8657,1
105758.0,0.0,760.0,5.4,700.0,180,1,Graduate,No,No,Urban,0.7893,0
76046.0,22381.0,713.0,9.4,700.0,300,1,Graduate,No,Yes,Semiurban,0.835,1
82744.0,18644.0,860.0,1.0,700.0,180,1,Graduate,No,Yes,Urban,0.9498,1
38431.0,10553.0,770.0,5.4,344.0,360,2,Graduate,Yes,Yes,Semiurban,0.8731,0
93152.0,45615.0,676.0,8.7,700.0,240,0,Graduate,No,Yes,Semiurban,0.7588,1
54595.0,40191.0,743.0,1.7,700.0,300,0,Graduate,Yes,Yes,Rural,0.5688,1
44059.0,0.0,628.0,2.6,505.0,360,0,Graduate,No,No,Semiurban,0.6276,1
74065.0,0.0,675.0,4.2,700.0,360,1,Graduate,No,No,Urban,0.5177,0
72762.0,39895.0,839.0,3.7,700.0,480,1,Graduate,No,Yes,Rural,0.9387,1
39908.0,20189.0,729.0,0.2,700.0,240,0,Graduate,No,Yes,Semiurban,0.7638,1
135083.0,56333.0,756.0,0.5,700.0,240,1,Graduate,No,Yes,Semiurban,0.8751,1
122031.0,0.0,804.0,0.5,700.0,300,0,Graduate,No,No,Urban,0.8093,1
73432.0,11434.0,747.0,1.5,700.0,240,0,Graduate,No,Yes,Rural,0.7841,1
68239.0,25030.0,606.0,1.4,700.0,240,1,Not Graduate,No,Yes,Rural,0.4867,1
65415.0,9215.0,865.0,6.8,700.0,240,0,Graduate,No,Yes,Rural,0.8899,1
29703.0,14189.0,750.0,4.3,700.0,360,1,Graduate,No,Yes,Rural,0.7335,0
59717.0,14669.0,764.0,7.2,700.0,300,2,Graduate,No,Yes,Urban,0.7678,1
59386.0,18911.0,698.0,0.4,556.0,300,2,Graduate,No,Yes,Rural,0.5891,0
35930.0,0.0,780.0,3.3,700.0,180,0,Graduate,Yes,No,Semiurban,0.8433,1
50015.0,29452.0,878.0,2.0,700.0,180,0,Graduate,No,Yes,Urban,0.8919,1
21681.0,28653.0,640.0,9.5,651.0,240,1,Not Graduate,Yes,Yes,Semiurban,0.5537,1
35923.0,26552.0,807.0,6.2,434.0,240,2,Graduate,No,Yes,Semiurban,0.8811,1
83882.0,32300.0,706.0,10.2,700.0,60,2,Not Graduate,No,Yes,Urban,0.6011,1
117842.0,13529.0,503.0,0.2,700.0,360,0,Graduate,No,Yes,Urban,0.4145,1
38322.0,28008.0,561.0,6.4,511.0,360,0,Not Graduate,No,Yes,Urban,0.2898,0
61500.0,0.0,741.0,3.9,648.0,300,1,Graduate,No,No,Semiurban,0.728,1
90339.0,24558.0,807.0,8.7,700.0,240,1,Graduate,No,Yes,Urban,0.9251,1
45776.0,35315.0,758.0,3.5,700.0,240,0,Graduate,No,Yes,Urban,0.8169,1
75661.0,33553.0,774.0,3.9,700.0,360,0,Graduate,No,Yes,Semiurban,0.9408,1
56151.0,0.0,900.0,0.3,560.0,180,1,Graduate,No,No,Rural,0.8884,1
93898.0,0.0,754.0,5.5,660.0,300,0,Graduate,No,No,Rural,0.9139,1
33235.0,0.0,670.0,1.6,573.0,360,0,Graduate,No,No,Urban,0.584,0
35813.0,35561.0,680.0,0.1,700.0,240,0,Graduate,No,Yes,Rural,0.7646,1
64049.0,0.0,848.0,0.3,700.0,300,0,Graduate,No,No,Semiurban,0.9601,1
59302.0,34309.0,594.0,15.8,700.0,480,1,Not Graduate,No,Yes,Semiurban,0.5531,1
54980.0,15464.0,777.0,2.1,700.0,240,0,Not Graduate,Yes,Yes,Semiurban,0.8808,0
72537.0,0.0,704.0,10.1,542.0,360,0,Not Graduate,No,No,Semiurban,0.8699,0
38527.0,0.0,648.0,16.1,567.0,360,0,Graduate,No,No,Urban,0.746,1
32043.0,63158.0,586.0,14.3,700.0,480,0,Graduate,No,Yes,Semiurban,0.8156,1
46164.0,24479.0,844.0,10.7,637.0,360,1,Not Graduate,No,Yes,Semiurban,0.9086,1
48384.0,31897.0,635.0,11.3,700.0,360,0,Graduate,No,Yes,Semiurban,0.7679,1
50555.0,9118.0,690.0,1.7,416.0,300,1,Not Graduate,No,Yes,Rural,0.4899,1
97052.0,29928.0,589.0,0.8,700.0,180,0,Not Graduate,No,Yes,Urban,0.7153,0
56390.0,0.0,853.0,5.1,389.0,300,0,Not Graduate,Yes,No,Semiurban,0.8696,1
71251.0,0.0,709.0,3.3,700.0,180,0,Graduate,No,No,Semiurban,0.5833,0
62520.0,0.0,565.0,0.5,473.0,240,0,Graduate,No,No,Rural,0.2419,0
47460.0,0.0,652.0,5.7,700.0,360,1,Not Graduate,No,No,Semiurban,0.5086,0
29488.0,18053.0,808.0,4.1,463.0,300,0,Graduate,Yes,Yes,Rural,0.7857,1
34448.0,0.0,621.0,9.9,317.0,240,2,Graduate,No,No,Rural,0.5964,0
42545.0,29337.0,668.0,4.7,700.0,180,0,Graduate,No,Yes,Semiurban,0.6803,0
55937.0,21023.0,802.0,4.3,700.0,240,0,Not Graduate,No,Yes,Semiurban,0.8222,0
35063.0,20055.0,731.0,2.9,700.0,180,0,Graduate,No,Yes,Urban,0.7131,0
61157.0,21378.0,583.0,3.1,700.0,180,2,Graduate,No,Yes,Rural,0.4638,0
52488.0,0.0,747.0,15.4,700.0,240,0,Graduate,No,No,Urban,0.8259,1
43896.0,0.0,654.0,0.7,622.0,360,0,Graduate,Yes,No,Semiurban,0.6362,0
92767.0,49933.0,692.0,3.0,700.0,240,0,Not Graduate,No,Yes,Urban,0.6998,1
20263.0,0.0,794.0,5.3,606.0,240,0,Graduate,No,No,Semiurban,0.5415,1
48476.0,10406.0,721.0,2.8,700.0,360,3,Graduate,No,Yes,Semiurban,0.7791,1
21205.0,0.0,675.0,1.7,428.0,360,0,Not Graduate,No,No,Rural,0.3341,0
62956.0,21156.0,682.0,1.7,700.0,240,2,Graduate,No,Yes,Semiurban,0.7881,0
78442.0,27966.0,797.0,1.3,700.0,240,1,Graduate,No,Yes,Rural,0.9076,1
22942.0,38563.0,603.0,2.1,700.0,360,0,Graduate,Yes,Yes,Semiurban,0.4572,0
34075.0,18112.0,509.0,10.3,700.0,180,0,Graduate,No,Yes,Urban,0.3201,1
27909.0,29011.0,678.0,3.5,447.0,300,1,Graduate,No,Yes,Urban,0.7825,1
58497.0,0.0,719.0,1.4,700.0,60,0,Not Graduate,No,No,Semiurban,0.3795,1
49359.0,66422.0,646.0,2.4,700.0,60,0,Not Graduate,No,Yes,Urban,0.459,0
48551.0,0.0,606.0,0.6,700.0,480,1,Not Graduate,Yes,No,Semiurban,0.3437,0
48798.0,0.0,671.0,11.7,700.0,300,2,Not Graduate,No,No,Urban,0.5566,1
37839.0,36674.0,695.0,2.6,700.0,240,1,Graduate,No,Yes,Semiurban,0.7713,1
91618.0,30174.0,612.0,19.7,700.0,360,1,Graduate,No,Yes,Semiurban,0.7259,1
63856.0,0.0,747.0,2.1,700.0,480,0,Not Graduate,No,No,Semiurban,0.5639,1
34629.0,64601.0,459.0,9.1,700.0,60,0,Graduate,No,Yes,Urban,0.1425,0
42437.0,0.0,747.0,1.5,700.0,60,0,Graduate,No,No,Urban,0.1881,0
39487.0,12308.0,711.0,0.4,453.0,360,1,Not Graduate,No,Yes,Urban,0.803,1
102795.0,10732.0,728.0,0.2,700.0,300,3,Not Graduate,No,Yes,Urban,0.6889,1
76781.0,0.0,519.0,4.7,700.0,360,0,Graduate,No,No,Semiurban,0.4859,1
54007.0,35707.0,724.0,1.9,700.0,300,0,Graduate,No,Yes,Semiurban,0.7715,1
116662.0,12659.0,647.0,2.9,700.0,240,0,Graduate,No,Yes,Urban,0.5784,1
104805.0,25143.0,863.0,8.5,700.0,180,2,Graduate,No,Yes,Semiurban,0.9199,1
